name,TPRP,TiBP,TnBP,TCIPP,TDCP,TPhP,EHDPP,TEHP
BY,0.38,0.4,0.002,0.04,0.69,0.11,1.1,0.1
PC,0.19,2.68,0.15,0.14,0.11,0.11,1.1,0.08
JL,0.24,2.07,0.22,0.14,6.42,0.16,1.13,4.37
FL,0.4,4.22,0.17,0.09,9.05,0.11,1.09,4.32
AS,0.96,2.41,0.26,3.81,2.73,0.27,2.79,10.21
RP1,2.47,12.18,0.67,4.01,5.61,0.23,2.69,10.54
RP2,2.7,14.46,0.64,2.2,6.24,0.49,2.47,9.75
RP3,1.42,2.11,0.19,0.58,12.38,0.24,2.3,8.56
EQ,1.8,6.05,1.42,4.74,85.45,4.72,1.35,5.13
HV,0.01,6.98,1.14,18.01,14.15,1.73,2.9,13.21
CT,12.34,26.32,0.69,3.33,11.62,1.1,2.99,12.04
TL,5.22,15.67,1.18,55,128.95,,,
